150.09			12.53			6272.69
260.28			18.06			9504.43
164.11			15.09			7806.89
209.15			9.32			4252.32
241.30			12.03			6063.75
158.20			8.96			4240.02
170.16			9.16			4441.78
165.10			12.01			6022.69
275.28			13.84			7130.83
156.18			8.85			4199.02
256.30			12.79			6645.88
302.36			19.38			10235.95
178.12			9.06			4150.94
213.25			9.60			4683.85
223.18			9.72			4528.46
200.23			9.33			4517.20
204.18			13.42			6937.80
188.14			10.37			5162.43
197.14			14.41			7352.96
175.16			8.92			4086.24
227.28			9.98			4940.17
132.12			9.86			4854.62
243.28			10.08			4952.57
181.14			12.95			6480.78
253.31			9.34			4627.72
196.14			9.98			4681.34
162.10			11.18			5449.70
168.19			8.87			4270.81
160.17			11.65			5756.42
158.15			9.51			4595.87
168.23			8.40			3927.03
149.12			11.42			5653.44
304.34			19.95			10558.47
242.27			12.63			6524.67
186.21			9.93			4871.02
193.11			8.94			4190.99
149.12			11.45			5572.46
227.13			15.51			7983.83
200.23			10.27			5089.50
162.14			10.42			5080.92
118.13			9.00			4221.33
190.19			13.01			6636.48
144.13			9.05			4297.54
272.12			13.94			7148.81
202.20			11.58			5876.41
134.13			11.29			5465.82
254.11			11.43			5670.19
256.34			12.76			6562.04
182.04			15.45			7995.68
174.15			9.18			4381.98
227.28			10.02			4951.67
162.14			11.55			5827.76
315.36			9.99			4886.63
237.36			8.46			4030.50
78.07			8.69			3992.95
231.25			10.65			5288.70
161.11			8.97			4226.54
174.15			10.60			5281.82
200.23			12.48			6349.22
222.11			8.63			4055.26
165.12			9.49			4392.21
174.19			11.57			5755.58
252.31			10.52			5352.98
187.21			8.74			4187.56
176.17			13.17			6688.97
134.13			8.88			4057.90
203.17			9.07			4359.87
255.12			9.24			4146.58
178.18			14.01			7185.71
189.19			8.90			4152.49
202.20			9.72			4776.04
104.11			8.77			4074.05
172.18			8.81			4129.65
132.12			10.20			5034.85
250.33			9.70			4865.99
256.30			15.12			7903.50
247.25			8.71			4044.32
192.17			15.78			8203.93
210.31			9.53			4663.74
260.22			8.92			4326.71
206.32			7.82			3755.84
166.13			13.99			7131.42
201.24			9.52			4620.86
231.25			10.65			5288.70
254.32			9.30			4598.81
240.34			11.61			5877.48
193.11			11.40			5794.46
217.24			9.21			4405.52
301.36			11.05			5550.43
285.34			8.65			4091.68
144.17			9.83			4713.48
301.34			9.36			4551.91
134.13			11.29			5465.82
170.21			9.48			4562.25
270.32			13.40			6965.18
286.36			14.04			7259.62
270.32			12.01			6139.84
202.25			11.97			6037.85
238.11			13.35			6799.83
184.23			9.41			4534.05
202.25			9.29			4492.81
261.19			10.60			5324.72
176.17			12.50			6306.63
195.13			12.83			6465.74
301.12			12.96			6592.57
160.17			11.01			5394.44
301.12			12.69			6413.32
159.16			8.73			4034.37
255.33			8.99			4351.42
118.09			8.63			4011.48
149.12			11.23			5431.64
181.14			13.20			6632.05
244.28			16.03			8352.31
150.13			12.79			6497.77
210.27			9.26			4548.15
156.18			9.33			4438.16
199.20			8.54			4074.01
269.36			11.10			5626.55
256.12			12.72			6411.08
237.36			8.62			4124.27
236.35			8.85			4346.87
196.14			9.98			4681.34
186.25			9.14			4425.88
208.30			8.68			4209.95
268.13			11.32			5763.21
301.12			12.96			6592.57
148.16			11.95			5925.33
315.36			10.17			5018.04
163.15			9.05			4147.92
174.19			9.47			4632.89
303.31			10.37			5149.92
132.12			9.27			4312.18
200.23			9.19			4436.76
173.19			10.24			4917.83
227.13			15.51			7983.83
193.11			13.22			6643.55
164.16			13.33			6811.24
186.21			8.97			4254.73
289.28			10.21			5011.49
226.27			11.26			5732.07
238.37			10.79			5372.10
252.35			8.59			4168.41
156.18			8.38			3963.84
256.12			12.43			6217.40
215.20			9.26			4501.70
119.10			9.02			4220.84
161.11			9.84			4695.76
158.15			9.72			4739.68
132.12			10.30			4988.78
135.08			8.95			4079.05
200.23			10.21			5055.83
253.36			8.38			3957.45
253.31			9.34			4627.72
254.11			11.43			5670.19
260.28			17.86			9389.48
255.33			10.65			5356.18
172.18			11.22			5609.00
180.14			10.35			4947.09
184.19			9.39			4598.06
247.20			10.83			5371.44
253.36			8.71			4194.48
180.11			13.65			6891.67
286.32			16.66			8761.14
254.32			12.45			6409.57
286.14			13.61			7049.90
238.37			11.27			5689.72
170.21			8.77			4230.07
146.14			9.07			4384.21
118.13			9.31			4387.79
268.35			10.90			5512.64
165.10			8.72			4011.95
240.34			10.56			5325.81
285.36			10.75			5403.64
256.12			14.29			7283.12
148.11			9.70			4530.17
270.32			12.01			6139.84
200.23			10.52			5246.69
267.34			8.39			4032.50
179.13			11.32			5582.63
267.34			8.39			4032.50
106.12			8.91			4113.23
252.35			11.00			5552.91
148.11			11.50			5743.47
181.04			10.42			4983.82
270.32			13.08			6777.57
170.21			8.96			4243.78
252.35			11.00			5552.91
188.22			11.47			5776.08
270.37			13.80			7141.97
200.23			10.74			5391.72
254.32			9.30			4598.81
174.11			10.26			5042.29
243.28			9.71			4737.62
116.12			9.90			4701.05
184.23			9.10			4352.93
303.33			14.07			7304.40
161.18			9.83			4693.61
189.19			9.87			4650.30
258.31			16.56			8655.79
189.19			11.37			5657.68
179.11			9.34			4230.42
158.15			10.10			4924.50
252.31			10.52			5352.98
188.18			10.62			5247.44
120.10			11.87			5852.67
146.14			10.62			5267.63
172.18			10.17			4989.23
242.31			13.54			6963.76
228.29			12.54			6388.74
219.11			9.91			4859.95
255.33			9.10			4411.91
272.34			14.81			7725.34
241.26			8.70			4174.55
254.32			11.91			6088.46
227.28			8.62			4049.26
287.33			14.57			7605.70
242.31			12.98			6655.91
134.09			8.60			3965.68
162.14			9.89			4712.31
180.14			10.09			4756.85
212.29			11.15			5546.44
285.36			11.39			5770.62
198.13			16.86			8746.13
226.31			10.45			5220.47
226.27			11.41			5759.65
269.31			9.07			4448.01
240.34			11.75			5954.05
174.19			11.26			5588.24
270.32			11.80			6040.83
258.31			14.76			7680.63
119.10			8.72			3998.17
