#Compound                    Mass                        parameter_A              parameter_B
PBENZOLOOH                   218.203900000000            12.401188978948          6669.328996984133
DNPXYOLOOH                   294.172400000000            12.045639192651          6418.416770079857
NTM124QOOH                   245.186100000000            12.841081024939          6804.890215215289
INAHCO2H                     195.127500000000            12.222611794700          6417.206435789106
C143CO                       254.322100000000            12.292873628150          6529.194107631504
C147OH                       270.321500000000            13.005292073360          7125.866769472591
OXNNCATOOH                   310.171800000000            15.178783568757          8250.552845844219
C526OOH                      166.129300000000            11.457433865007          6174.601155527738
INDOOH                       197.143300000000            13.362566522359          7042.860465868508
OTNNCATCO2                   323.190400000000            12.936556617562          6625.679522861957
C825OOH                      190.193800000000            13.140433266663          7241.658865901939
C1310NO3                     303.308300000000            12.989354024947          7016.655485681028
DNPETOLOOH                   308.199000000000            12.401188978948          6669.328996984133
T124NNCOOH                   324.198400000000            15.423489550415          8408.916585562352
INCNCO2H                     240.125000000000            13.161867311970          6764.236794015879
NPPRBQOOH                    245.186100000000            12.951924814404          6897.438698064531
C625OOH                      164.156500000000            11.827733741575          6350.540122076546
NDMEPLOOH                    277.228000000000            13.647517475740          7174.723089795005
INAHPPAN                     272.123800000000            12.618194504351          6611.634817912151
C57NO3CO2H                   195.127500000000            13.413421736844          7143.062260222054
NDEMPHOLOH                   275.255200000000            12.660396854661          6532.257745539940
C732CO3H                     204.177300000000            12.107075613647          6440.640360159778
METOLOOH                     218.203900000000            12.290345185937          6576.780513120647
DNPBNZLOOH                   308.199000000000            12.401188978948          6669.328996984133
C1215OOH                     260.283600000000            13.758394945347          7303.670589949089
C1312CO                      240.295500000000            11.937323873755          6278.281889858958
C820OOH                      204.177300000000            12.211878118558          6356.355248118573
MTNCATCOOH                   279.200800000000            14.348961044020          8061.886236959291
T123NCTOOH                   279.200800000000            13.662401556109          7595.712903879065
PTNNCATCO                    307.191000000000            12.936556617562          6625.679522861957
NOETLQOOH                    245.186100000000            12.951924814404          6897.438698064531
C143OH                       256.338000000000            12.956809004781          7003.605913481326
C147CO                       268.305600000000            13.021490011268          6772.822084351353
C135OOH                      302.277200000000            14.807822373612          7970.133671938536
INB1OOH                      197.143300000000            13.362566522359          7042.860465868508
PNNCATCOOH                   324.198400000000            15.534333326151          8501.465064492384
C1215OH                      244.284200000000            13.161718422012          6855.072476365324
INDHPPAN                     272.123800000000            13.253344584215          6963.865788426570
LIMONIC                      186.205100000000            12.223650499558          6552.446619320111
C825OH                       174.194400000000            12.450912674672          6721.906146638405
C134OH                       272.294300000000            13.616468996897          7336.644919516554
OTNNCATCO                    307.191000000000            12.936556617562          6625.679522861957
NC524O2                      212.134800000000            13.159585200520          6804.184115067525
C537OOH                      182.042600000000            11.660415206395          6413.277511925658
C1312OH                      242.311400000000            12.601259218517          6752.693686584644
OXYQOOH                      186.162000000000            11.563360693823          6299.496121530561
OETLQOOH                     200.188600000000            11.918910464214          6550.408343881439
C132OOH                      258.310800000000            13.006839850365          6997.910836911596
PPRBQOOH                     202.204500000000            11.095044268680          6102.555470281498
C137CO3H                     270.321500000000            12.635003457606          6753.753734210802
C1211OH                      228.284800000000            12.821237763141          6767.006960498385
INB1HPPAN                    272.123800000000            13.253344584215          6963.865788426570
BCKBOOH                      256.338000000000            12.492585644797          6482.371616234873
NTM135LOOH                   263.201400000000            13.291967700778          6923.810866136146
C58NO3CO3H                   211.126900000000            12.734236678726          6645.099148987167
NC524OH                      197.143300000000            13.805222544448          7421.124785244411
INB1NAPAN                    301.122000000000            13.393800912055          6719.988818648488
DEMPHOLOH                    230.257600000000            11.714541091764          6185.227392013816
INDHPCO3H                    227.126300000000            13.530644914373          7236.006481865791
C141OOA                      270.321500000000            12.238448085536          6420.794758660324
C146OOH                      270.321500000000            11.637194815691          6177.628329668468
PTNCATCOOH                   279.200800000000            14.459804852070          8154.434725092640
C139OOH                      258.310800000000            14.621314807101          8164.087181469382
NOETOLOOH                    263.201400000000            13.513655287566          7108.907834082403
NPTLQOOH                     217.133000000000            12.240825254479          6395.614247882920
NDNMETLOOH                   353.196500000000            13.402811500034          7016.359351786190
INB1NO3                      226.141500000000            13.574176973173          6798.983492139757
DNC524CO                     240.125000000000            13.819840418945          7100.798314502936
BCKAOOH                      256.338000000000            13.126316090106          6855.996465126193
NTM123LOOH                   263.201400000000            13.402811500034          7016.359351786190
DNIPBZLOOH                   308.199000000000            12.290345185937          6576.780513120647
C1214OOH                     244.284200000000            12.651290078797          6746.998614223289
C118OOH                      246.257000000000            13.402845166406          7052.758365151391
C1211CO3H                    272.294300000000            13.219761764603          7139.910585068618
C1212NO3                     305.281200000000            12.015749335019          6339.204224789708
C922OOH                      220.219700000000            13.744200423194          7362.755632295955
C1212OH                      244.284200000000            13.224524802149          7321.612202722798
C1212O2                      259.275700000000            12.015749335019          6339.204224789708
C623OOH                      164.156500000000            12.411534588016          6593.245891301080
HIEB1OOH                     166.129300000000            12.589579724246          6997.644938918214
NDNPXYLOOH                   339.170000000000            13.047261727357          6765.447128782801
PTNNCATOOH                   324.198400000000            15.534333326151          8501.465064492384
METLQOOH                     200.188600000000            11.808066682481          6457.859863246942
C728OOH                      178.183100000000            12.767084360256          6844.158114180790
IPNNCATCO                    307.191000000000            12.825712834677          6533.131041896940
INB1HPCO2H                   211.126900000000            14.209829980474          7733.969595368144
IPRBQOOH                     200.188600000000            11.808066682481          6457.859863246942
T124NNCTO2                   323.190400000000            12.825712834677          6533.131041896940
MNCATECOOH                   251.147700000000            13.748705269024          7652.610268309042
TM124NOOH                    249.174800000000            12.045639192651          6418.416770079857
C117OOH                      230.257600000000            12.295740296582          6496.086388488227
NMETLQOOH                    245.186100000000            12.841081024939          6804.890215215289
ENNCATCOOH                   310.171800000000            15.178783568757          8250.552845844219
R_HOM_O9                     279.000000000000             7.447700000000          4946.878494981380
R_HOM_O10                    295.000000000000             8.445400000000          5690.514233732380
R_HOM_O11                    311.000000000000             7.440400000000          5670.081166981670
R_HOM_O12                    327.000000000000             8.438200000000          6413.716809292257
R_HOM_O13                    343.000000000000             7.433200000000          6393.283824468810
R_HOM_O14                    359.000000000000             9.979400000000          7317.856447586760
HOM_O7CBN                    246.000000000000             7.447700000000          4946.878494981380
HOM_O8CBN                    262.000000000000             6.442700000000          4926.445463187453
